Employee,Title,Age,Gender,Salary,Commission,HireDate
Creed Bratton,Quality Control,64,Male,"42,000 per year",N,22-Mar-85
Stanley Hudson,Sales Associate,59,Male,"53,000 per year",Y,2-Feb-86
Michael Scott,Regional Manager,51,Male,"58,000 per year",N,12-Nov-87
Michael Scott,Regional Manager,51,Male,"58,000 per year",N,12-Nov-87
Phyllis Lapin,Sales Associate,51,Female,"51 per year",Y,27-Apr-90
Oscar Martinez,Accountant,42,Male,"46,000 per year",N,"September 13, 1996"
Meredith Palmer,Vendor Relations,47,Female,"41,500 per year",N,4-Aug-99
Meredith Palmer,Vendor Relations,48,Female,"41,500 per year",N,4-Aug-99
Dwight Schrute,Sales Associate,36,M,"46,500 per year",Y,13-Jan-01
Dwight Schrute,Sales Associate,36,M,"46,500 per year",Y,13-Jan-01
Kevin Malone,Accountnt,39,Male,"41,000 per year",N,21-Jan-02
Pam Beasley,Receptionist,31,Female,"39,000 per year",N,16-Jul-03
Jim Halpert,Sales Associate,31,Male,"44 per year",Y,8-Oct-03
Angela Palmer,Accountant,33,Female,"43,000 per year",N,19-Jan-04
Toby Flenderson,Human Resources,45,Male,"42,500 per year",N,6-Mar-25
Kelly Kapoor,Customer Service,Twenty-eight,F,"38,000 per year",N,18-Jul-06
Ryan Howard,Temporary Employee,24,M,"31,000 per year",N,1-Sep-06
